,Gemeindename,average
0,Aadorf,164.17639802631578
1,Aarau,162.06481382122544
2,Aarberg,156.20040404040404
3,Aarburg,159.32458354366483
4,Aarwangen,159.08219178082192
5,Abtwil,156.26287744227352
6,Aclens,150.58480565371025
7,Acquarossa,156.89505119453923
8,Adelboden,181.26721415034743
9,Adligenswil,156.76241557409614
10,Adlikon,163.2597087378641
11,Adliswil,160.44001074835415
12,Aedermannsdorf,168.71044776119402
13,Aefligen,161.95839753466873
14,Aegerten,159.82846371347784
15,Aesch (BL),166.79492481203008
16,Aesch (LU),164.8846625766871
17,Aesch (ZH),163.66915422885572
18,Aeschi (SO),159.6704834605598
19,Aeschi bei Spiez,168.27484333034914
20,Aeugst am Albis,163.72552783109404
21,Affeltrangen,170.88575361321404
22,Affoltern am Albis,159.96893732970028
23,Affoltern im Emmental,167.80333730631705
24,Agarn,173.7505330490405
25,Agiez,152.2200956937799
26,Agno,145.51693667157585
27,Aigle,155.3843204090328
28,Aire-la-Ville,156.41114457831324
29,Airolo,159.13513513513513
30,Alberswil,160.34625322997417
31,Albinen,184.86046511627907
32,Albula/Alvra,178.61111111111111
33,Alchenstorf,158.56626506024097
34,Allaman,158.20472440944883
35,Alle,155.8561967833491
36,Allmendingen,165.87058823529412
37,Allschwil,170.8510045290907
38,Alpnach,159.5406515996478
39,Alpthal,180.3012987012987
40,Altbüron,161.25757575757575
41,Altdorf (UR),157.16214634146343
42,Altendorf,170.76905041031654
43,Alterswil,158.42314647377938
44,Altikon,163.92628992628994
45,Altishofen,158.04422869471412
46,Altnau,163.87165354330708
47,Alto Malcantone,151.60069848661234
48,Altstätten,164.1276965901183
49,Altwis,169.31223628691984
50,Amden,175.79847908745248
51,Amlikon-Bissegg,170.2930648769575
52,Ammerswil,170.37799043062202
53,Amriswil,164.86268861454047
54,Amsoldingen,163.08705882352942
55,Andeer,171.48360655737704
56,Andelfingen,163.2314814814815
57,Andermatt,170.16176470588235
58,Andwil (SG),160.1070143884892
