Vorname,2017_x,2016_x,2015_x,2014_x,2013_x,2012_x,2011_x,2010_x,2009_x,2008_x,2007_x,2006_x,2005_x,2004_x,2003_x,2002_x,2001_x,2000_x,1999_x,1998_x,total_female,2017_y,2016_y,2015_y,2014_y,2013_y,2012_y,2011_y,2010_y,2009_y,2008_y,2007_y,2006_y,2005_y,2004_y,2003_y,2002_y,2001_y,2000_y,1999_y,1998_y,total_male
Lou,89,100,95,66,57,76,76,67,41,50,56,43,43,51,35,38,31,21,19,11,1065,12,21,17,12,21,19,14,16,20,19,14,10,9,13,10,9,8,3,4,4,255
Camille,71,74,68,103,91,75,79,90,101,76,85,98,97,81,78,105,104,109,113,118,1816,13,15,9,8,9,4,7,14,6,5,4,9,2,2,4,4,3,1,7,5,131
Tenzin,41,32,23,24,20,16,8,8,5,4,8,2,1,3,1,2,3,5,5,6,217,30,46,40,27,24,22,13,8,10,2,6,7,8,4,10,2,7,8,8,9,291
Noa,35,30,25,22,24,26,28,18,25,31,31,37,39,46,42,38,42,54,22,14,629,52,42,54,43,62,51,61,69,56,57,59,64,56,46,56,62,31,28,16,8,973
Elia,29,21,27,11,13,11,16,11,12,14,15,9,8,10,3,12,4,7,4,8,245,156,194,199,178,177,179,180,180,155,162,158,149,167,147,138,133,129,103,85,91,3060
Andrea,22,22,21,22,33,31,26,27,22,36,41,48,59,58,82,78,107,133,147,159,1174,28,46,27,46,28,43,41,49,44,48,60,50,60,56,46,55,81,85,108,103,1104
Charlie,21,17,19,18,30,15,5,17,8,6,1,5,0,3,1,4,1,1,0,0,172,25,17,15,17,15,14,10,15,13,13,7,7,3,1,2,0,1,1,2,0,178
Sasha,20,15,23,19,11,14,11,11,11,15,5,5,4,6,4,4,3,3,4,2,190,17,16,13,14,14,11,18,18,16,12,14,17,17,27,10,17,18,31,16,7,323
Erin,17,24,26,14,18,19,19,16,18,15,17,11,9,15,13,6,11,5,5,1,279,7,7,8,8,9,8,7,3,7,8,11,4,1,6,4,1,0,1,1,0,101
Lilian,16,16,16,6,12,9,7,12,10,14,17,16,15,9,12,14,13,10,13,18,255,6,9,11,8,0,9,4,7,3,4,12,16,6,5,7,2,2,0,4,0,115
Maé,13,12,3,6,9,11,12,11,18,25,19,9,9,5,7,6,3,2,0,0,180,6,11,8,8,10,8,9,4,4,7,2,0,1,0,3,0,0,0,0,0,81
Eden,11,9,9,16,12,8,8,7,6,7,7,5,3,1,7,4,1,9,3,0,133,27,19,23,23,14,7,8,3,3,1,5,3,3,0,1,1,0,0,1,1,143
Enea,11,8,11,12,9,8,7,5,6,4,3,2,3,2,2,3,3,1,1,0,101,74,103,66,80,67,84,73,60,72,79,65,61,43,43,30,26,25,21,16,29,1117
Elis,8,3,3,3,7,3,1,2,3,1,0,0,0,0,0,1,1,1,2,1,40,8,3,2,6,4,2,5,5,5,3,1,2,1,3,1,1,1,3,0,0,56
Jamie,8,7,7,6,4,9,9,10,10,8,6,14,11,10,16,12,13,12,13,15,200,83,75,71,67,75,85,82,92,82,70,77,81,61,50,20,12,18,11,13,5,1130
Lorin,7,14,4,18,15,13,13,11,14,1,9,3,6,2,3,0,0,0,0,0,133,40,42,58,55,53,46,52,50,59,36,52,36,34,24,23,19,15,9,12,9,724
Quinn,7,2,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,12,11,7,6,3,3,7,7,2,4,1,2,0,1,1,0,0,1,0,86
Anik,6,4,10,5,15,10,5,8,3,1,7,4,3,1,3,0,4,5,2,7,103,34,41,43,29,18,11,18,11,9,8,3,1,0,0,0,1,0,2,3,0,232
Eli,6,3,2,7,3,2,1,1,4,2,2,0,1,1,0,0,1,2,2,0,40,24,27,22,16,19,20,10,8,6,5,4,5,5,0,1,0,0,6,6,2,186
Noe,6,6,1,8,2,6,4,6,11,7,7,6,1,5,4,2,2,2,2,4,92,36,43,43,32,57,40,40,41,33,34,28,27,25,34,57,28,59,61,57,44,819
Robin,6,8,3,7,8,5,1,5,6,4,2,0,2,7,3,9,7,5,10,9,107,200,196,230,247,217,191,224,231,168,189,198,237,209,225,277,254,230,305,322,305,4655
